Date,MLI,CWCO,SEDG,^GSPC
2024-12-20,79.66488647460938,24.636795043945312,14.770000457763672,5930.85009765625
2024-12-23,79.10848236083984,25.03145980834961,14.880000114440918,5974.06982421875
2024-12-24,80.11199188232422,25.130123138427734,14.829999923706055,6040.0400390625
2024-12-26,80.53922271728516,25.52478790283203,14.579999923706055,6037.58984375
2024-12-27,79.44629669189453,25.218921661376953,13.800000190734863,5970.83984375
2024-12-30,79.25751495361328,25.475452423095703,13.569999694824219,5906.93994140625
2024-12-31,78.85015106201172,25.54451560974121,13.600000381469727,5881.6298828125
2025-01-02,79.21778106689453,25.60396957397461,14.800000190734863,5868.5498046875
2025-01-03,80.22128295898438,25.871503829956055,15.279999732971191,5942.47021484375
2025-01-06,80.26102447509766,25.584152221679688,16.290000915527344,5975.3798828125
2025-01-07,78.61170196533203,25.06890296936035,17.59000015258789,5909.02978515625
2025-01-08,79.27738952636719,25.49497413635254,14.989999771118164,5918.25
2025-01-10,77.7075424194336,25.05899429321289,14.710000038146973,5827.0400390625
2025-01-13,78.61170196533203,25.286893844604492,14.460000038146973,5836.22021484375
2025-01-14,80.12193298339844,25.752599716186523,14.25,5842.91015625
2025-01-15,80.71807098388672,25.950773239135742,14.5,5949.91015625
2025-01-16,81.32415008544922,26.188581466674805,14.210000038146973,5937.33984375
2025-01-17,81.59242248535156,26.14894676208496,13.90999984741211,5996.66015625
2025-01-21,82.13888549804688,26.39666175842285,13.699999809265137,6049.240234375
2025-01-22,80.93666076660156,25.88141441345215,13.050000190734863,6086.3701171875
2025-01-23,81.30428314208984,25.950773239135742,13.579999923706055,6118.7099609375
2025-01-24,80.33057403564453,25.544519424438477,14.680000305175781,6101.240234375
2025-01-27,78.38317108154297,26.376846313476562,14.130000114440918,6012.27978515625
2025-01-28,79.53572082519531,26.12912940979004,13.390000343322754,6067.7001953125
2025-01-29,78.99919128417969,25.792236328125,12.960000038146973,6039.31005859375
2025-01-30,79.59532928466797,26.049861907958984,13.3100004196167,6071.169921875
2025-01-31,78.24407196044922,25.940866470336914,13.100000381469727,6040.52978515625
2025-02-03,77.51875305175781,26.525476455688477,13.359999656677246,5994.56982421875
2025-02-04,75.7899398803711,26.39666175842285,13.890000343322754,6037.8798828125
2025-02-05,77.80689239501953,26.67410659790039,14.34000015258789,6061.47998046875
2025-02-06,80.84724426269531,26.634469985961914,14.760000228881836,6083.56982421875
2025-02-07,79.75430297851562,26.198490142822266,14.289999961853027,6025.990234375
2025-02-10,79.87353515625,26.079586029052734,14.220000267028809,6066.43994140625
2025-02-11,80.30077362060547,26.515567779541016,13.369999885559082,6068.5
2025-02-12,78.90975952148438,26.188581466674805,13.289999961853027,6051.97021484375
2025-02-13,80.10205841064453,26.406572341918945,14.850000381469727,6115.06982421875
2025-02-14,80.7578125,26.822734832763672,16.360000610351562,6114.6298828125
2025-02-18,81.75138854980469,27.724422454833984,16.93000030517578,6129.580078125
2025-02-19,81.08570098876953,27.169538497924805,19.6299991607666,6144.14990234375
2025-02-20,80.06231689453125,27.1199951171875,18.190000534057617,6117.52001953125
2025-02-21,77.88638305664062,27.278533935546875,17.6200008392334,6013.1298828125
2025-02-24,79.07866668701172,26.882184982299805,18.459999084472656,5983.25
2025-02-25,79.78411865234375,27.32807731628418,18.719999313354492,5955.25
2025-02-26,79.18795776367188,27.288442611694336,18.540000915527344,5956.06005859375
2025-02-27,78.29374694824219,27.070451736450195,17.889999389648438,5861.56982421875
2025-02-28,79.66488647460938,26.822734832763672,16.489999771118164,5954.5
2025-03-03,78.98925018310547,27.050634384155273,14.130000114440918,5849.72021484375
2025-03-04,77.69760131835938,26.753376007080078,14.84000015258789,5778.14990234375
2025-03-05,79.41648864746094,27.01099967956543,15.59000015258789,5842.6298828125
2025-03-06,79.02899169921875,26.92182159423828,16.020000457763672,5738.52001953125
2025-03-07,81.53280639648438,27.565885543823242,16.850000381469727,5770.2001953125
2025-03-10,80.34051513671875,27.516342163085938,16.610000610351562,5614.56005859375
2025-03-11,81.50299835205078,27.922597885131836,16.049999237060547,5572.06982421875
2025-03-12,78.32356262207031,27.833419799804688,15.8100004196167,5599.2998046875
2025-03-13,77.69760131835938,28.120769500732422,15.0600004196167,5521.52001953125
2025-03-14,79.23262023925781,28.913463592529297,16.1200008392334,5638.93994140625
2025-03-17,81.11649322509766,28.834192276000977,17.3799991607666,5675.1201171875
2025-03-18,79.0531997680664,26.90200424194336,16.8799991607666,5614.66015625
2025-03-19,81.18627166748047,27.55597496032715,16.979999542236328,5675.2900390625
2025-03-20,79.33229064941406,27.3478946685791,17.1200008392334,5662.89013671875
2025-03-21,76.99987030029297,26.25794219970703,17.030000686645508,5667.56005859375
2025-03-24,79.21268463134766,23.552879333496094,17.200000762939453,5767.56982421875
2025-03-25,78.96349334716797,24.02849578857422,17.290000915527344,5776.64990234375
2025-03-26,78.63455963134766,24.0582218170166,16.100000381469727,5712.2001953125
2025-03-27,77.259033203125,23.919498443603516,15.930000305175781,5693.31005859375
2025-03-28,76.34200286865234,24.226669311523438,15.850000381469727,5580.93994140625
2025-03-31,75.89346313476562,24.266300201416016,16.18000030517578,5611.85009765625
2025-04-01,77.26899719238281,24.32602310180664,16.684999465942383,5633.06982421875
2025-04-02,79.13294219970703,24.266300201416016,16.829999923706055,5670.97021484375
2025-04-03,73.84014129638672,24.276254653930664,15.425000190734863,5396.52001953125
2025-04-04,70.37139892578125,23.93783950805664,14.710000038146973,5074.080078125
2025-04-07,69.5739974975586,23.270963668823242,13.350000381469727,5062.25
2025-04-08,68.27820587158203,23.649192810058594,12.385000228881836,4982.77001953125
2025-04-09,75.4748306274414,23.549659729003906,14.350000381469727,5456.89990234375
2025-04-10,72.37489318847656,23.489940643310547,11.579999923706055,5268.0498046875
2025-04-11,73.88001251220703,23.858213424682617,12.760000228881836,5363.35986328125
2025-04-14,73.50123596191406,23.858213424682617,13.920000076293945,5405.97021484375
2025-04-15,73.29191589355469,23.91793441772461,12.6850004196167,5396.6298828125
2025-04-16,70.69036865234375,23.7188663482666,12.489999771118164,5275.7001953125
2025-04-17,70.72026824951172,24.117000579833984,12.640000343322754,5282.7001953125
2025-04-21,68.22836303710938,23.579519271850586,12.100000381469727,5158.2001953125
2025-04-22,70.05243682861328,24.22648811340332,13.050000190734863,5287.759765625
2025-04-23,72.01605987548828,23.987607955932617,11.920000076293945,5375.85986328125
2025-04-24,73.74046325683594,23.77858543395996,11.71500015258789,5484.77001953125
2025-04-25,72.77360534667969,23.50984764099121,12.5600004196167,5525.2099609375
2025-04-28,72.6041488647461,23.171432495117188,12.6899995803833,5528.75
2025-04-29,72.59418487548828,23.59942626953125,12.84000015258789,5560.830078125
2025-04-30,73.32181549072266,23.13161849975586,12.234999656677246,5569.06005859375
2025-05-01,73.24208068847656,23.03208351135254,12.539999961853027,5604.14013671875
2025-05-02,75.30538177490234,23.06194496154785,13.100000381469727,5686.669921875
2025-05-05,74.91664123535156,23.002225875854492,12.920000076293945,5650.3798828125
2025-05-06,73.57100677490234,23.151525497436523,14.369999885559082,5606.91015625
2025-05-07,73.56104278564453,22.703622817993164,14.770000457763672,5631.27978515625
2025-05-08,74.6076431274414,23.231151580810547,18.290000915527344,5663.93994140625
2025-05-09,74.74718475341797,23.330686569213867,19.84000015258789,5659.91015625
